sample_id,Diet,Sex,Wave,BMI_17wk,TC_18wk
DO1456,HC/LF,Male,9,3.039642895,82.23404255
DO1457,HF/LC,Male,9,2.82,86.92307692
DO1458,HC/LF,Male,9,3.27,108.4615385
DO1459,HF/LC,Male,9,3.1,70.72916667
DO1460,HC/LF,Male,9,2.823252622,87.42105263
DO1461,HF/LC,Male,9,4.43832262,85.53191489
DO1462,HC/LF,Female,10,2.463470595,74.56989247
DO1463,HF/LC,Female,10,2.326869806,165.6818182
DO1464,HC/LF,Female,10,2.228238234,60.16483516
DO1465,HF/LC,Female,10,3.060899139,86.84782609
DO1466,HC/LF,Female,10,2.555208695,63.47826087
DO1467,HF/LC,Female,10,2.65514369,116.9565217
DO1468,HC/LF,Female,10,2.540121161,94.94444444
DO1469,HF/LC,Female,10,2.805824211,83.33333333
DO1471,HF/LC,Female,10,2.856851342,70.93406593
DO1472,HC/LF,Female,10,2.393351801,74.16666667
DO1473,HF/LC,Female,10,2.712018141,118.7234043
DO1475,HF/LC,Female,10,2.753290665,99.88636364
DO1476,HC/LF,Female,10,2.943989797,61.15384615
DO1477,HF/LC,Female,10,2.625146137,208.4574468
DO1478,HC/LF,Female,10,2.427243087,72.1978022
DO1479,HF/LC,Female,10,2.374763705,63.42391304
DO1481,HF/LC,Female,10,2.540557086,108.5263158
DO1482,HC/LF,Female,10,2.777777778,72.1978022
DO1483,HF/LC,Female,10,2.94668888,106.4444444
DO1484,HC/LF,Female,10,2.315789474,79.73684211
DO1485,HF/LC,Female,10,2.582633649,70.42553191
DO1486,HC/LF,Female,10,2.832153269,88.20224719
DO1487,HF/LC,Female,10,2.383698577,61.77083333
DO1488,HC/LF,Female,10,3.087062088,46.96629213
DO1489,HF/LC,Female,10,2.86,72.81914894
DO1490,HC/LF,Female,10,2.592797784,70.27173913
DO1491,HF/LC,Female,10,2.886284722,79.01098901
DO1492,HC/LF,Female,10,2.70498732,85.53763441
DO1493,HF/LC,Female,10,2.551020408,71.04166667
DO1494,HC/LF,Female,10,2.326869806,61.64835165
DO1495,HF/LC,Female,10,2.278645833,82.24719101
DO1496,HC/LF,Female,10,2.451150422,74.45054945
DO1497,HF/LC,Female,10,2.532084634,75.2173913
DO1498,HC/LF,Female,10,3.274188805,92.76041667
DO1499,HF/LC,Female,10,2.669270833,75.97826087
DO1500,HC/LF,Female,10,2.897238569,103.7912088
DO1501,HF/LC,Female,10,3.581267218,91.71875
DO1502,HC/LF,Female,10,2.53,76.4893617
DO1503,HF/LC,Female,10,3.803548672,129.3010753
DO1504,HC/LF,Female,10,2.682391028,72.1978022
DO1505,HF/LC,Female,10,2.542529586,71.98924731
DO1508,HC/LF,Female,10,2.56,65.11111111
DO1509,HF/LC,Female,10,2.691358025,81.0989011
DO1511,HF/LC,Female,10,2.601456816,
DO1512,HC/LF,Male,10,3.143491124,79.78021978
DO1513,HF/LC,Male,10,3.758169935,117.5555556
DO1514,HC/LF,Male,10,3.34,92.74725275
DO1515,HF/LC,Male,10,3.213957759,88.5483871
DO1516,HC/LF,Male,10,3.133410227,114.3820225
DO1517,HF/LC,Male,10,2.864282968,97.22222222
DO1518,HC/LF,Male,10,2.766927083,64.13043478
DO1519,HF/LC,Male,10,3.03,99.89010989
DO1520,HC/LF,Male,10,3.193551678,80.38461538
DO1521,HF/LC,Male,10,3.454139654,62.25806452
DO1522,HC/LF,Male,10,3.300708038,138.1666667
DO1523,HF/LC,Male,10,2.701822917,61.54255319
DO1524,HC/LF,Male,10,2.56,54.12087912
DO1525,HF/LC,Male,10,3.01,96.07954545
DO1526,HC/LF,Male,10,2.814404432,67.34375
DO1527,HF/LC,Male,10,3.29029571,90.2247191
DO1528,HC/LF,Male,10,3.248076053,77.12765957
DO1529,HF/LC,Male,10,3.102873803,85.85106383
DO1530,HC/LF,Male,10,2.931190584,63.03370787
DO1531,HF/LC,Male,10,3.161982249,113.423913
DO1532,HC/LF,Male,10,3.827662722,84.73684211
DO1533,HF/LC,Male,10,3.364186543,97.8021978
DO1534,HC/LF,Male,10,3.102873803,85.05681818
DO1535,HF/LC,Male,10,3.294717823,104.2696629
DO1536,HC/LF,Male,10,3.772290809,82.24719101
DO1537,HF/LC,Male,10,3.825451749,69.89361702
DO1538,HC/LF,Male,10,2.784567967,78.08510638
DO1539,HF/LC,Male,10,3.016306909,81.45833333
DO1540,HC/LF,Male,10,3.206997085,76.86813187
DO1541,HF/LC,Male,10,2.699542991,70.6043956
DO1542,HC/LF,Male,10,3.662053057,80.2688172
DO1543,HF/LC,Male,10,3.760957677,84.83516484
DO1544,HC/LF,Male,10,2.636142907,56.57608696
DO1545,HF/LC,Male,10,3.746031746,132.4431818
DO1546,HC/LF,Male,10,3.165347772,85.44444444
DO1547,HF/LC,Male,10,4.533147,113.2065217
